order_id,customer_id,product_id,purchase_amount,is_reordered,purchased_on,event_time
O1,C9765,P11660,58.84,0,2021-01-10 10:31:27,2024-05-02T05:39:17.172Z
O2,C3674,P6868,71.08,0,2020-03-20 16:47:36,2024-05-02T05:39:17.172Z
O3,C2139,P4749,57.17,1,2020-11-01 22:09:22,2024-05-02T05:39:17.172Z
O4,C7794,P542,5.35,1,2020-03-22 10:10:38,2024-05-02T05:39:17.172Z
O5,C2229,P7605,47.85,1,2021-01-14 01:08:56,2024-05-02T05:39:17.172Z
O6,C4402,P14916,37.39,1,2021-01-12 23:11:47,2024-05-02T05:39:17.172Z
O7,C7079,P5989,97.3,0,2021-03-24 02:31:07,2024-05-02T05:39:17.172Z
O8,C4429,P8658,82.55,0,2020-03-10 17:20:37,2024-05-02T05:39:17.172Z
O9,C1551,P3070,37.2,1,2021-04-26 08:02:19,2024-05-02T05:39:17.172Z
O10,C8158,P11480,43.64,1,2020-03-11 08:26:59,2024-05-02T05:39:17.172Z
O11,C5405,P2660,96.6,1,2021-01-23 07:33:02,2024-05-02T05:39:17.172Z
O12,C5230,P14807,82.16,0,2020-01-18 18:00:56,2024-05-02T05:39:17.172Z
O13,C14,P8561,42.78,1,2021-03-08 22:21:36,2024-05-02T05:39:17.172Z
O14,C4596,P13975,3.93,0,2020-04-24 00:21:45,2024-05-02T05:39:17.172Z
O15,C4193,P8885,63.67,0,2020-09-04 01:44:07,2024-05-02T05:39:17.172Z
O16,C5033,P14612,53.93,1,2020-10-06 21:36:56,2024-05-02T05:39:17.172Z
O17,C2358,P8232,63.14,1,2021-03-27 03:36:30,2024-05-02T05:39:17.172Z
O18,C9119,P10441,38.09,1,2020-09-22 06:05:32,2024-05-02T05:39:17.173Z
O19,C6882,P1995,59.23,1,2020-05-10 06:41:16,2024-05-02T05:39:17.173Z
O20,C9262,P16960,54.14,1,2020-09-09 04:49:14,2024-05-02T05:39:17.173Z
O21,C8815,P13043,38.37,1,2021-05-22 04:37:22,2024-05-02T05:39:17.173Z
O22,C960,P2207,68.72,1,2020-08-16 13:31:48,2024-05-02T05:39:17.173Z
O23,C4443,P5813,47.46,0,2020-08-27 04:13:12,2024-05-02T05:39:17.173Z
O24,C2436,P15966,4.45,1,2021-02-20 07:29:52,2024-05-02T05:39:17.173Z
O25,C9264,P8035,56.25,0,2020-01-10 00:24:48,2024-05-02T05:39:17.173Z
O26,C376,P9195,62.54,0,2020-04-23 09:06:13,2024-05-02T05:39:17.173Z
O27,C1170,P8359,5.68,1,2020-03-22 09:41:57,2024-05-02T05:39:17.173Z
O28,C8835,P14021,27.57,1,2020-06-13 04:02:02,2024-05-02T05:39:17.173Z
O29,C281,P6168,29.34,0,2020-09-09 13:25:08,2024-05-02T05:39:17.173Z
O30,C6083,P5046,70.54,1,2020-03-07 03:26:16,2024-05-02T05:39:17.173Z
O31,C3945,P4266,16.16,1,2021-02-05 03:05:25,2024-05-02T05:39:17.173Z
O32,C796,P3208,57.13,0,2020-04-02 01:28:02,2024-05-02T05:39:17.173Z
O33,C2382,P2846,71.01,1,2020-11-26 03:25:01,2024-05-02T05:39:17.173Z
O34,C6246,P13392,69.34,0,2020-05-08 02:58:13,2024-05-02T05:39:17.173Z
O35,C2281,P5671,90.97,1,2021-02-18 23:05:04,2024-05-02T05:39:17.173Z
O36,C917,P8968,9.57,0,2020-02-23 10:33:32,2024-05-02T05:39:17.173Z
O37,C591,P4668,82.57,1,2020-01-09 01:49:05,2024-05-02T05:39:17.173Z
O38,C5768,P10690,27.54,0,2020-06-03 22:54:21,2024-05-02T05:39:17.173Z
O39,C7908,P10929,84.16,0,2021-01-19 08:42:12,2024-05-02T05:39:17.173Z
O40,C1829,P8207,42.65,1,2020-03-02 15:18:01,2024-05-02T05:39:17.173Z
O41,C6499,P11571,48.04,1,2020-02-17 08:31:57,2024-05-02T05:39:17.173Z
O42,C1780,P3102,89.63,1,2020-01-23 16:33:31,2024-05-02T05:39:17.173Z
O43,C8767,P6931,15.04,1,2020-05-14 15:34:46,2024-05-02T05:39:17.173Z
O44,C7224,P7108,21.13,1,2021-04-10 20:40:49,2024-05-02T05:39:17.173Z
O45,C267,P16564,89.1,1,2020-06-29 17:52:01,2024-05-02T05:39:17.173Z
O46,C6184,P12570,20.5,1,2021-02-22 05:55:27,2024-05-02T05:39:17.173Z
O47,C1524,P13278,29.85,1,2021-05-25 12:24:40,2024-05-02T05:39:17.173Z
O48,C6366,P529,88.02,1,2020-05-30 18:23:52,2024-05-02T05:39:17.173Z
O49,C7867,P4880,32.19,0,2020-03-04 02:04:03,2024-05-02T05:39:17.173Z
O50,C6206,P12594,51.04,1,2020-07-11 20:07:11,2024-05-02T05:39:17.173Z
O51,C1919,P8632,58.86,0,2020-07-02 05:05:15,2024-05-02T05:39:17.173Z
O52,C3986,P16190,82.03,0,2020-04-22 01:51:47,2024-05-02T05:39:17.173Z
O53,C9523,P11755,36.16,1,2021-01-08 14:34:02,2024-05-02T05:39:17.173Z
O54,C8976,P2937,54.54,1,2020-10-23 12:36:09,2024-05-02T05:39:17.173Z
O55,C9481,P400,71.43,1,2020-07-05 03:31:21,2024-05-02T05:39:17.173Z
O56,C1215,P3340,78.81,1,2021-04-29 08:08:42,2024-05-02T05:39:17.173Z
O57,C3409,P4799,12.86,1,2021-01-20 12:40:08,2024-05-02T05:39:17.173Z
O58,C9093,P7977,19.95,0,2020-12-09 14:05:13,2024-05-02T05:39:17.173Z
O59,C5858,P6180,36.9,1,2020-09-12 11:50:57,2024-05-02T05:39:17.173Z
O60,C8756,P2098,43.72,1,2020-09-12 23:01:09,2024-05-02T05:39:17.173Z
O61,C7175,P12373,73.08,1,2020-03-08 00:05:28,2024-05-02T05:39:17.173Z
O62,C7206,P12628,7.54,1,2020-11-19 04:11:07,2024-05-02T05:39:17.173Z
O63,C708,P13963,85.99,1,2020-08-12 21:58:19,2024-05-02T05:39:17.173Z
O64,C911,P11780,44.08,1,2020-06-08 03:45:04,2024-05-02T05:39:17.173Z
O65,C3884,P6466,80.22,1,2020-09-13 05:50:32,2024-05-02T05:39:17.173Z
O66,C1301,P4883,50.15,0,2020-06-19 11:35:32,2024-05-02T05:39:17.173Z
O67,C3983,P3702,21.88,0,2020-07-27 11:27:15,2024-05-02T05:39:17.173Z
O68,C6017,P10842,26.25,1,2021-04-01 11:26:35,2024-05-02T05:39:17.173Z
O69,C1934,P10897,33.55,1,2021-02-02 02:58:43,2024-05-02T05:39:17.173Z
O70,C118,P16713,33.4,0,2020-11-25 06:11:59,2024-05-02T05:39:17.173Z
O71,C8635,P11661,4.9399999999999995,0,2020-02-16 00:45:58,2024-05-02T05:39:17.173Z
O72,C431,P10106,82.61,1,2020-10-25 19:53:57,2024-05-02T05:39:17.173Z
O73,C9988,P16742,44.01,1,2020-12-09 13:00:13,2024-05-02T05:39:17.173Z
O74,C2105,P10450,2.4699999999999998,0,2020-04-16 22:30:15,2024-05-02T05:39:17.173Z
O75,C2143,P6793,8.9,0,2020-01-18 19:17:14,2024-05-02T05:39:17.173Z
O76,C5595,P7750,39.34,0,2020-05-14 20:11:16,2024-05-02T05:39:17.173Z
O77,C7910,P9142,15.96,0,2020-07-12 20:33:19,2024-05-02T05:39:17.173Z
O78,C244,P10879,64.48,1,2020-04-27 20:54:59,2024-05-02T05:39:17.173Z
O79,C9859,P1723,43.82,1,2020-06-07 09:11:33,2024-05-02T05:39:17.173Z
O80,C5465,P16855,38.23,1,2021-04-16 23:15:31,2024-05-02T05:39:17.173Z
O81,C9094,P12323,6.26,1,2021-02-21 20:03:52,2024-05-02T05:39:17.173Z
O82,C8028,P1722,67.84,0,2020-08-10 03:19:13,2024-05-02T05:39:17.174Z
O83,C7338,P4344,89.62,1,2020-11-18 01:07:53,2024-05-02T05:39:17.174Z
O84,C1152,P5577,79.49,0,2021-02-08 17:09:01,2024-05-02T05:39:17.174Z
O85,C2695,P6869,46.19,1,2021-02-05 22:21:22,2024-05-02T05:39:17.174Z
O86,C7350,P1728,14.79,1,2020-03-24 06:59:24,2024-05-02T05:39:17.174Z
O87,C9909,P9543,27.91,1,2020-08-24 10:38:51,2024-05-02T05:39:17.174Z
O88,C9315,P4735,31.92,1,2021-01-26 04:25:26,2024-05-02T05:39:17.174Z
O89,C6086,P16964,8.01,1,2020-03-21 17:01:49,2024-05-02T05:39:17.174Z
O90,C8858,P14538,83.07,0,2020-06-05 22:23:41,2024-05-02T05:39:17.174Z
O91,C1707,P1919,66.32,1,2021-03-06 11:38:30,2024-05-02T05:39:17.174Z
O92,C5869,P13027,7.51,1,2020-10-19 21:37:42,2024-05-02T05:39:17.174Z
O93,C8390,P10016,24.54,0,2021-04-02 04:53:10,2024-05-02T05:39:17.174Z
O94,C5979,P12372,36.29,0,2021-01-27 03:08:01,2024-05-02T05:39:17.174Z
O95,C4874,P13519,86.56,1,2020-05-28 08:23:35,2024-05-02T05:39:17.174Z
O96,C4816,P8864,71.25,1,2020-05-25 13:13:55,2024-05-02T05:39:17.174Z
O97,C7490,P12668,2.01,1,2020-02-22 16:33:37,2024-05-02T05:39:17.174Z
O98,C8171,P8687,64.6,1,2021-04-27 06:09:28,2024-05-02T05:39:17.174Z
O99,C5994,P1601,87.8,0,2020-10-24 15:36:14,2024-05-02T05:39:17.174Z
O100,C8530,P9999,65.52,1,2020-02-04 20:34:03,2024-05-02T05:39:17.174Z
O101,C1414,P13018,50.56,1,2021-05-02 19:03:47,2024-05-02T05:39:17.174Z
O102,C6247,P7684,29.28,0,2021-02-15 05:07:47,2024-05-02T05:39:17.174Z
O103,C123,P4359,83.1,0,2020-01-13 20:18:45,2024-05-02T05:39:17.174Z
O104,C7335,P10168,45.09,1,2021-05-13 17:06:48,2024-05-02T05:39:17.174Z
O105,C110,P16173,90.94,1,2021-01-02 19:09:50,2024-05-02T05:39:17.174Z
O106,C6113,P10880,25.65,1,2020-07-21 05:48:26,2024-05-02T05:39:17.174Z
O107,C1057,P13340,50.45,1,2020-08-15 06:12:37,2024-05-02T05:39:17.174Z
O108,C537,P5109,39.37,1,2020-01-10 10:40:32,2024-05-02T05:39:17.174Z
O109,C1040,P2840,82.52,1,2021-02-13 10:03:41,2024-05-02T05:39:17.174Z
O110,C7728,P1783,92.45,1,2020-07-18 03:51:44,2024-05-02T05:39:17.174Z
O111,C3883,P2600,3.63,1,2020-05-01 13:51:53,2024-05-02T05:39:17.174Z
O112,C3614,P7490,10.32,0,2020-04-15 10:24:19,2024-05-02T05:39:17.174Z
O113,C2734,P8224,101.03,1,2020-02-11 02:10:39,2024-05-02T05:39:17.174Z
